Title ,Author ,Series ,Publisher ,Date published,Isbn ,Number of Pages, Genre,Rating,Screen adaptation
One Direction: Who We Are: Our Official Autobiography,"Louis Tomlinson, Harry Styles, Niall Horan, Liam Payne, Zayn Malik",,Harpernonfiction,2014,9780008345419,352,Autobiography,10,No
ZAYN,Zayn Malik,,Delacorte Press,2016,9781524718725,288,Autobiography,10,No
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Harry Potter,Scholastic,1999,9780439136358,464,"Fantasy, Fiction",10,Yes
Crazy Rich Asians,Kevin Kwan,Crazy Rich Asians,Doubleday,2013,9781782393320,403,Fiction,10,Yes
The Fault in Our Stars,John Green,,Penguin Group,2021,9781455869749,313,YA Fiction,9,Yes
Red Queen,Victoria Aveyard,Red Queen,Orion Books,2015,9781409150725,388,"YA Fiction, fantasy",8,No
All the Bright Places,Jennifer Niven,,Alfred A.Knopf,2015,9780241395967,432,YA Fiction,7,Yes
Percy Jackson's Greek Gods,Rick Riordan,Percy Jackson,Puffin,2014,9780141355207,404,"YA fiction, adventure",10,No
Percy Jackson: Sea of Monsters,Rick Riordan,Percy Jackson,Puffin,2006,9780545271905,279,"YA fiction, adventure",9,Yes
Harry Potter and the Philosopher’s Stone,J.K. Rowling,Harry Potter,Scholastic,1997,9783551559012,223,"Fantasy, Fiction",9,Yes
The Cellar,Natasha Preston,,Sourcebooks,2014,9781492600978,368,"Thriller, Murder, Mystery",9,No
Winter Holiday,Arthur Ransome,Vintage Classic,Vintage Books London,1933,9780099573654,484,"Childrens, adventure",6,No
Animal Farm,George Orwell,,Penguin Group,1945,9780140817690,139,"Dystopian, Fiction, Satire ",4,Yes
A Thousand Pieces of You,Claudia Gray,Firebird,HarperCollins,2014,9780062357694,384,"YA fiction, science",9,No
The Road to Little Dribbling: More Notes from a Small Island,Bill bryson,,Penguin Group,2014,9780552779838,476,"comedy, humor, travel",1,No
We Were Liars,E. Lockhart,,Dell Publishing,2014,9780804168397,256,"YA fiction, Psychological thriller",7,Yes
The Red Ribbon,Author Lucy Adlington,,Hot Key Books,2017,9781471406560,288,"fiction, historical",5,Yes
Ballad for a Mad Girl,Vikki Wakefield,,Text Publishing,2017,9781925355291,309,YA Mystery,3,No
The Book Thief,Markus Zusak,,Picador,2005,9780739337271,584,"YA fiction, Historical Fiction",2,Yes
Rosemary’s Baby,Ira Levin,,Corsair,1967,9781849017497,229,Horror,4,Yes
Transcendent Kingdom,Yaa Gyasi,,Viking,2020,9780241433386,264,Drama,3,No
The Outsiders,Susan Eloise Hinton,,Penguin Group,1967,9780141368887,216,"Coming-of-age, Drama ",5,Yes
Murder On The Orient Express,Agatha Christie,,Collins Crime Club,1934,9781405032735,256,Murder Mystery,8,Yes
To Kill a Mockingbird,Harper Lee,To Kill a Mockingbird Series,J. B. Lippincott & Co.,1960,9780749301347,281,Coming-of-age,4,Yes